id,split,label,control_domain,review_status,priority,reviewer,notes
CS-ACL-TERM-033-178C2846,train,CONTRADICTORY,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-078-BB6292F6,validation,PARTIAL,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-093-E9E02E0D,train,INSUFFICIENT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-123-94992E08,train,SUFFICIENT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-123-B7513B6D,train,PARTIAL,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-153-615CA178,train,IRRELEVANT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-168-59299CAE,train,CONTRADICTORY,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-183-04A390E9,challenge,INSUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,Spotcheck: substance=Mercury; SCOPE 30==30; retained INSUFFICIENT — epistemic hedge/non-execution reading in substance section (not merely decoy hedges). tags=policy_only
CS-ACL-TERM-183-1678565C,challenge,CONTRADICTORY,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE 30==30; retained CONTRADICTORY — ROW_DETAIL carries control-failure fact against otherwise complete packet framing. tags=control_failure,source_conflict"
CS-ACL-TERM-183-49A2D185,challenge,SUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE 30==30; retained SUFFICIENT — operational claim in substance section, equal coverage, no decisive failure in ROW_DETAIL. tags=none"
CS-ACL-TERM-183-71EC332E,challenge,PARTIAL,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE inventory=30 file_rows=21; retained PARTIAL — file_rows < inventory under shared claim scaffold. tags=population_gap,incomplete_export"
CS-ACL-TERM-183-C978D8CD,challenge,IRRELEVANT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained IRRELEVANT — substance pointer targets off-objective distractor while claim-like text remains in the other section. tags=wrong_system,evidence_not_traceable"
CS-ACL-TERM-198-12709694,challenge,PARTIAL,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE inventory=30 file_rows=19; retained PARTIAL — file_rows < inventory under shared claim scaffold. tags=population_gap,incomplete_export"
CS-ACL-TERM-198-140A8727,challenge,CONTRADICTORY,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained CONTRADICTORY — ROW_DETAIL carries control-failure fact against otherwise complete packet framing. tags=control_failure,source_conflict"
CS-ACL-TERM-198-E31C56B8,challenge,IRRELEVANT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE 30==30; retained IRRELEVANT — substance pointer targets off-objective distractor while claim-like text remains in the other section. tags=wrong_system,evidence_not_traceable"
CS-ACL-TERM-198-FC8E072A,challenge,SUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained SUFFICIENT — operational claim in substance section, equal coverage, no decisive failure in ROW_DETAIL. tags=none"
CS-ACL-TERM-198-FFB4B045,challenge,INSUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,Spotcheck: substance=Mercury; SCOPE 30==30; retained INSUFFICIENT — epistemic hedge/non-execution reading in substance section (not merely decoy hedges). tags=procedure_only
CS-ACL-TERM-228-02BF24E7,challenge,INSUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,Spotcheck: substance=Neon; SCOPE 30==30; retained INSUFFICIENT — epistemic hedge/non-execution reading in substance section (not merely decoy hedges). tags=self_attestation
CS-ACL-TERM-228-66EF679E,challenge,PARTIAL,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Neon; SCOPE inventory=30 file_rows=23; retained PARTIAL — file_rows < inventory under shared claim scaffold. tags=population_gap,incomplete_export"
CS-ACL-TERM-228-91ED5BD8,challenge,SUFFICIENT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained SUFFICIENT — operational claim in substance section, equal coverage, no decisive failure in ROW_DETAIL. tags=none"
CS-ACL-TERM-228-9301B2F4,challenge,CONTRADICTORY,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained CONTRADICTORY — ROW_DETAIL carries control-failure fact against otherwise complete packet framing. tags=control_failure,source_conflict"
CS-ACL-TERM-228-93EEBCA0,challenge,IRRELEVANT,account_lifecycle,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 30==30; retained IRRELEVANT — substance pointer targets off-objective distractor while claim-like text remains in the other section. tags=wrong_system,evidence_not_traceable"
CS-ACL-TERM-243-A5DAC001,validation,INSUFFICIENT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-243-B42C8D5C,validation,IRRELEVANT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-ACL-TERM-258-0EFA399E,test,SUFFICIENT,account_lifecycle,reviewed,dev_sample,structural_auditor_v1,structural audit ok; label consistent with packet invariants
CS-BAK-JOB-023-2BC52041,challenge,PARTIAL,backup_and_recovery,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE inventory=15 file_rows=9; retained PARTIAL — file_rows < inventory under shared claim scaffold. tags=population_gap,incomplete_export"
CS-BAK-JOB-023-5D6A29E4,challenge,SUFFICIENT,backup_and_recovery,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 15==15; retained SUFFICIENT — operational claim in substance section, equal coverage, no decisive failure in ROW_DETAIL. tags=none"
CS-BAK-JOB-023-661709FB,challenge,IRRELEVANT,backup_and_recovery,reviewed,challenge_required,spotcheck_v1,"Spotcheck: substance=Mercury; SCOPE 15==15; retained IRRELEVANT — substance pointer targets off-objective distractor while claim-like text remains in the other section. tags=wrong_system,evidence_not_traceable"
